shot_id,sequence_id,duration_seconds,dramatic_stage,dramatic_beat,visual_subtext,composition,camera,camera_psychology,screen_action,sound_detail,sound_perspective,cut_motivation,continuity_anchor,transition_role,religious_visual_safety,master_lock_status
ADAM-DC2-S03-SH01,ADAM-SEQUENCE-03,12,entry,تثبيت السكون البدئي,القصة تدخل كونًا له نظام,محيط أسود هائل بلا شاطئ، يلتقي بسواد السماء في أفق يكاد يختفي.,انزلاق منخفض فوق الماء مع حركة أمواج بطيئة ضخمة.,الحركة تخدم «تثبيت السكون البدئي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتسع موجة واحدة حتى تتجاوز الكادر.,ضغط مائي عميق دون موسيقى.,الصوت يبدأ من مادة اللقطة (ضغط مائي عميق دون موسيقى.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء والخط المكتوب,افتتاح الحقائق الكونية بمشهد مادي مهيب.,لا تصوير للعرش أو للخالق.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S03-SH02,ADAM-SEQUENCE-03,18,reveal,تحويل الكتابة إلى حركة قدر,المكتوب لا يعني غياب الاختيار,مسار حبر مضيء يكتب نفسه في فضاء مظلم، بلا يد ولا أداة مرئية.,تتبع قريب للمسار ثم انسحاب يكشف امتداده اللامتناهي.,الحركة تخدم «تحويل الكتابة إلى حركة قدر»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,ينقسم المسار إلى آلاف الخطوط الزمنية المتوازية.,خدش قلم مضخم يمتزج بنبض منتظم.,الصوت يبدأ من مادة اللقطة (خدش قلم مضخم يمتزج بنبض منتظم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء والخط المكتوب,تجسيد أثر الكتابة مع إبقاء الكيفية غيبية.,القلم وأمره يُعبَّر عنهما بالأثر لا بمشهد شخصي.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S03-SH03,ADAM-SEQUENCE-03,18,pressure,اتساع الخط إلى كون مادي,الاتساع الكوني يخدم رحلة الإنسان,الخطوط تتحول إلى مجرات وسدم ثم إلى طبقات سماء وأرض.,اندفاع كوني واسع ينتهي عند كوكب الأرض.,الحركة تخدم «اتساع الخط إلى كون مادي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتكاثف المادة ويظهر الضوء من خلف الغبار.,اتساع محيطي ثم هدير منخفض.,الصوت يبدأ من مادة اللقطة (اتساع محيطي ثم هدير منخفض.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء والخط المكتوب,الانتقال من المقادير إلى خلق العالم.,تصوير كوني تقريبي لا يزعم الكيفية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S03-SH04,ADAM-SEQUENCE-03,18,turn,تمييز النور والنار بلا تجسيد,اختلاف الأصل لا يمنح رتبة أخلاقية,واديان متجاوران: أحدهما يغمره نور بلا مصدر مرئي، والآخر تعبره ألسنة نار بلا كائنات.,حركة موازية بين الواديين مع عمق ميداني طويل.,الحركة تخدم «تمييز النور والنار بلا تجسيد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,ينتظم الضوء بينما تتشعب النار، وتنفصل منها شرارة بعيدة.,همهمة هوائية واحتراق مكتوم.,الصوت يبدأ من مادة اللقطة (همهمة هوائية واحتراق مكتوم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء والخط المكتوب,الإشارة إلى أصل خلق الملائكة والجن.,لا أجساد أو هيئات للملائكة أو الجن أو إبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S03-SH05,ADAM-SEQUENCE-03,18,bridge,ترك الأرض تنتظر الإعلان,الاحتمال التفسيري يبقى في طرف الصورة,الأرض تملأ الكادر، وفوق أحد أطرافها ظل حراري غير محدد يبقى بعيدًا.,اقتراب بطيء إلى الغلاف الجوي ثم توقف.,الحركة تخدم «ترك الأرض تنتظر الإعلان»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تذوب الشرارة في حافة الصورة بينما يشرق خط فوق الأرض.,صمت قصير ثم نغمة انتظار.,الصوت يبدأ من مادة اللقطة (صمت قصير ثم نغمة انتظار.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء والخط المكتوب,نقل القصة من الكون إلى إعلان الخليفة.,الظل احتمال تفسيري لا حضور مقطوع به.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S04-SH01,ADAM-SEQUENCE-04,18,entry,جعل الأرض موضوع انتظار,الخلافة تكليف قبل أن تكون مكانة,الأرض من ارتفاع شاهق؛ قارات ومياه وسحب في حركة هادئة.,هبوط محوري من المدار إلى سهل واسع.,الحركة تخدم «جعل الأرض موضوع انتظار»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر الآية فوق الأفق ثم تتلاشى داخل الضوء.,نبض أرضي عميق وصوت ريح واسعة.,الصوت يبدأ من مادة اللقطة (نبض أرضي عميق وصوت ريح واسعة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأرض والغبار المستقبلي,جعل الإعلان فعلًا يبدل معنى الأرض.,النص القرآني بصوت الراوي بلا تجسيد للمتكلم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S04-SH02,ADAM-SEQUENCE-04,24,reveal,إظهار إمكان العمران والفساد,الإنسان يحمل نقيضين ممكنين,السهل نفسه يعبر الزمن: قنوات ماء، حقول، جسور، ثم دخان وخرائب، بلا تثبيت عصر بعينه.,لقطة طويلة متحولة تحفظ موقع الكاميرا وتغير العالم أمامها.,الحركة تخدم «إظهار إمكان العمران والفساد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتعاقب آثار العمران والفساد كاحتمالات من ذرية واحدة.,ماء وأدوات وبشر بعيدون، ثم نار وصمت.,الصوت يبدأ من مادة اللقطة (ماء وأدوات وبشر بعيدون، ثم نار وصمت.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأرض والغبار المستقبلي,إظهار اتساع الاختيار الإنساني.,لا نسبة لأحداث أو أمم محددة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S04-SH03,ADAM-SEQUENCE-04,28,pressure,رفع سؤال الملائكة بلا تجسيد,السؤال الصادق لا يساوي التمرد,سماء واسعة تنعكس فيها دوائر ضوء على سطح الماء، من دون أشكال.,دوران بطيء حول الانعكاسات مع بقاء الأرض في العمق.,الحركة تخدم «رفع سؤال الملائكة بلا تجسيد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تهتز الدوائر مع سؤال الملائكة ولا تنكسر.,تناغم كورالي بلا كلمات.,الصوت يبدأ من مادة اللقطة (تناغم كورالي بلا كلمات.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأرض والغبار المستقبلي,رفع السؤال إلى مشهد مهيب غير تمثيلي.,الدوائر انعكاسات لا صور ملائكة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S04-SH04,ADAM-SEQUENCE-04,26,turn,قطع الاحتمالات أمام العلم الإلهي,حدود العلم جزء من الحكمة,كل صور المستقبل تتوقف وتتجمد ثم تتفتت إلى غبار عند الجواب.,تراجع سريع من السهل إلى فراغ أسود.,الحركة تخدم «قطع الاحتمالات أمام العلم الإلهي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يبقى نص ﴿إني أعلم ما لا تعلمون﴾ وحده.,قطع كامل للموسيقى ثم نفس واحد.,الصوت يبدأ من مادة اللقطة (قطع كامل للموسيقى ثم نفس واحد.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأرض والغبار المستقبلي,تحويل الجواب إلى انعطاف لا تعليق.,نص قرآني فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S04-SH05,ADAM-SEQUENCE-04,26,bridge,إسقاط غبار المستقبل إلى مادة الخلق,المستقبل كله يبدأ من قبضة تراب,الغبار المتفتت يهبط على أرض رطبة ويتحول إلى طبقة تراب حقيقية.,متابعة ماكرو للحبيبات حتى تلامس الماء.,الحركة تخدم «إسقاط غبار المستقبل إلى مادة الخلق»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتجمع الحبيبات وتشتد حول شق عميق.,احتكاك حبيبات يصبح إيقاعًا عضويًا.,الصوت يبدأ من مادة اللقطة (احتكاك حبيبات يصبح إيقاعًا عضويًا.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الأرض والغبار المستقبلي,الدخول إلى الخلق من أثر الجواب.,مادة فقط بلا هيئة آدم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S05-SH01,ADAM-SEQUENCE-05,18,entry,جمع ألوان الأرض في مادة واحدة,التعدد الأرضي يدخل أصل الإنسان,أخدود أرضي هائل يكشف طبقات تراب حمراء وسوداء وصفراء.,طيران منخفض بمحاذاة الجدران الطبقية.,الحركة تخدم «جمع ألوان الأرض في مادة واحدة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تهطل الأمطار فتسحب الألوان إلى قاع واحد.,مطر ثقيل وانهيارات صغيرة.,الصوت يبدأ من مادة اللقطة (مطر ثقيل وانهيارات صغيرة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء داخل الطين والرنين الجوفاء,منح أصل التراب مقياسًا جغرافيًا.,لا جسد بشري.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S05-SH02,ADAM-SEQUENCE-05,24,reveal,إظهار تحولات الطين بلا جدول تعليمي,الوصف أغنى من ترتيب متكلف,سيل ماء يخلط التراب إلى طين لاصب كثيف.,عدسة ماكرو تتبع حركة الماء داخل المادة.,الحركة تخدم «إظهار تحولات الطين بلا جدول تعليمي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يلتف الطين ويقاوم ثم يستقر.,شد طيني وقطرات مكتومة.,الصوت يبدأ من مادة اللقطة (شد طيني وقطرات مكتومة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء داخل الطين والرنين الجوفاء,إظهار التحول المادي بلا جدول زمني.,بطاقة بصرية: الأوصاف ثابتة وترتيبها التفصيلي غير مقطوع به.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S05-SH03,ADAM-SEQUENCE-05,28,pressure,الإيحاء بالتسوية من الداخل,الهيئة لا تُعرض كي يبقى المعنى,سطح طيني تحت شمس قاسية يتغير لونه ويتشقق حتى يصير كالفخار.,تايم لابس سينمائي من مستوى السطح.,الحركة تخدم «الإيحاء بالتسوية من الداخل»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تمر الظلال وتتبدل الرطوبة ويظهر الرنين.,ماء ينسحب ثم تشققات ورنين.,الصوت يبدأ من مادة اللقطة (ماء ينسحب ثم تشققات ورنين.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء داخل الطين والرنين الجوفاء,تجميع أوصاف القرآن داخل تحول حسي.,لا ادعاء مدة أو ترتيب محدد.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S05-SH04,ADAM-SEQUENCE-05,26,turn,كشف الجوف والضعف,الهشاشة جزء من تركيب الإنسان,داخل بنية طينية هائلة تشبه كهفًا عضويًا أجوف، بلا أطراف أو ملامح.,حركة دائرية بطيئة حول التجويف الداخلي.,الحركة تخدم «كشف الجوف والضعف»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يمر تيار حراري حول الجدران كأنه يتفحصها.,وقع دائري غير مرئي ورنين جوف.,الصوت يبدأ من مادة اللقطة (وقع دائري غير مرئي ورنين جوف.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء داخل الطين والرنين الجوفاء,ترجمة طواف إبليس ومعرفته بالجوف.,لا تصوير لآدم أو إبليس كجسد.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S05-SH05,ADAM-SEQUENCE-05,26,bridge,استشعار اقتراب الخصم قبل الحياة,العداوة تراقب الضعف قبل أن ترى العلم,ذرة غبار تهبط داخل التجويف وتظل معلقة في سكون كامل.,اقتراب طويل يتوقف قبل الذرة.,الحركة تخدم «استشعار اقتراب الخصم قبل الحياة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر على الجدار نبضة ضوء واحدة ثم تختفي.,صمت طويل ثم نبضة ناقصة.,الصوت يبدأ من مادة اللقطة (صمت طويل ثم نبضة ناقصة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الماء داخل الطين والرنين الجوفاء,التوقف قبل نفخ الروح.,الضوء أثر درامي لا تصوير للروح.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S06-SH01,ADAM-SEQUENCE-06,18,entry,تحويل السكون إلى إدراك,الحياة أثر لا مادة مصورة,منظور أول داخل عتمة طينية؛ الضوء يتسرب من شقوق بعيدة.,تركيز بصري يتضح تدريجيًا مع ارتفاع الكاميرا.,الحركة تخدم «تحويل السكون إلى إدراك»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتحرك ذرات الغبار مع أول تيار هواء.,نبضة مكتملة وشهيق بيئي واتساع المجال السمعي.,الصوت يبدأ من مادة اللقطة (نبضة مكتملة وشهيق بيئي واتساع المجال السمعي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,أول نبضة وأثر النفس,إظهار أثر الحياة من الداخل.,لا تصوير للروح أو لجسد آدم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S06-SH02,ADAM-SEQUENCE-06,24,reveal,إدخال العالم عبر السمع والحركة,العالم يولد في الوعي لحظة بلحظة,وادي بدئي واسع، ماء وأشجار وصخور تُرى لأول مرة من منظور مستيقظ.,حركة عين بطيئة من الأرض إلى السماء ثم إلى الأفق.,الحركة تخدم «إدخال العالم عبر السمع والحركة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تستجيب أوراق بعيدة لنسمة تمر في الوادي.,دخول أصوات الماء والطيور والريح طبقة طبقة.,الصوت يبدأ من مادة اللقطة (دخول أصوات الماء والطيور والريح طبقة طبقة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,أول نبضة وأثر النفس,تحويل الإدراك إلى اكتشاف عالم.,منظور بلا أطراف أو ملامح.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S06-SH03,ADAM-SEQUENCE-06,28,pressure,جعل الحمد أول استجابة واعية,أول الكلام اعتراف بالمنعم,موجة هواء قصيرة تعبر الماء وتولد دوائر تتسع مع كلمة «الحمد لله».,تتبع منخفض فوق سطح الماء.,الحركة تخدم «جعل الحمد أول استجابة واعية»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتقاطع الدوائر مع ضوء الشمس وتملأ الوادي.,عطسة بعيدة غير مجسدة، ثم صوت الراوي بالحمد.,الصوت يبدأ من مادة اللقطة (عطسة بعيدة غير مجسدة، ثم صوت الراوي بالحمد.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,أول نبضة وأثر النفس,جعل الكلمة الأولى أثرًا يملأ البيئة.,لا أداء ممثل لآدم.,READY_FOR_HUMAN_STORYBOARD_REVIEW
